Date,Open,High,Low,Close,Adj Close,Volume
1990-01-30,53.698799,53.698799,53.698799,53.698799,25.111080,6303136
1990-01-31,54.304798,54.304798,54.304798,54.304798,25.394464,4854872
1990-02-01,54.304798,54.304798,54.304798,54.304798,25.394464,5243504
1990-02-02,54.304798,54.304798,54.304798,54.304798,25.394464,3312486
1990-02-05,54.914101,54.914101,54.914101,54.914101,25.679398,9469885
1990-02-06,54.914101,54.914101,54.914101,54.914101,25.679398,17142344
1990-02-07,54.304798,54.304798,54.304798,54.304798,25.394464,3109061
1990-02-08,54.304798,54.304798,54.304798,54.304798,25.394464,7821232
1990-02-09,53.395802,53.395802,53.395802,53.395802,24.969395,4417660
1990-02-12,52.789700,52.789700,52.789700,52.789700,24.685951,7484215
1990-02-13,52.789700,52.789700,52.789700,52.789700,24.685951,10471828
1990-02-14,52.941299,52.941299,52.941299,52.941299,24.756849,6120964
1990-02-15,52.486698,52.486698,52.486698,52.486698,24.544260,7071293
1990-02-16,52.486698,52.486698,52.486698,52.486698,24.544260,3825602
1990-02-19,51.271400,51.271400,51.271400,51.271400,23.975965,2131407
1990-02-20,50.968399,50.968399,50.968399,50.968399,23.834263,7095582
1990-02-21,50.816898,50.816898,50.816898,50.816898,23.763416,11079067
1990-02-22,51.271400,51.271400,51.271400,51.271400,23.975965,4469275
1990-02-23,50.665401,50.665401,50.665401,50.665401,23.692577,8212901
1990-02-26,51.271400,51.271400,51.271400,51.271400,23.975965,4539108
1990-02-27,52.183701,52.183701,52.183701,52.183701,24.402576,14297431
1990-02-28,52.486698,52.486698,52.486698,52.486698,24.544260,10392887
1990-03-01,51.271400,51.271400,51.271400,51.271400,23.975965,5413531
1990-03-02,51.574402,51.574402,51.574402,51.574402,24.117649,6448873
1990-03-05,50.665401,50.665401,50.665401,50.665401,23.692577,2820623
1990-03-06,50.362400,50.362400,50.362400,50.362400,23.550882,11121574
1990-03-07,51.574402,51.574402,51.574402,51.574402,24.117649,8352566
1990-03-08,52.789700,52.789700,52.789700,52.789700,24.685951,18417545
1990-03-09,53.092800,53.092800,53.092800,53.092800,24.827698,17300226
1990-03-12,53.395802,53.395802,53.395802,53.395802,24.969395,2043357
1990-03-13,53.395802,53.395802,53.395802,53.395802,24.969395,6394222
1990-03-14,54.914101,54.914101,54.914101,54.914101,25.679398,3661648
1990-03-15,56.126202,56.126202,56.126202,56.126202,26.246199,36683281
1990-03-16,56.429199,56.429199,56.429199,56.429199,26.387890,10875642
1990-03-19,55.520100,55.520100,55.520100,55.520100,25.962769,12424100
1990-03-20,56.429199,56.429199,56.429199,56.429199,26.387890,9809938
1990-03-21,56.429199,56.429199,56.429199,56.429199,26.387890,20545916
1990-03-22,57.341499,57.341499,57.341499,57.341499,26.814510,13954342
1990-03-23,57.644501,57.644501,57.644501,57.644501,26.956203,18739381
1990-03-26,57.644501,57.644501,57.644501,57.644501,26.956203,23147933
1990-03-27,57.341499,57.341499,57.341499,57.341499,26.814510,25124495
1990-03-28,56.732201,56.732201,56.732201,56.732201,26.529577,5528907
1990-03-29,56.732201,56.732201,56.732201,56.732201,26.529577,14701245
1990-03-30,56.429199,56.429199,56.429199,56.429199,26.387890,15165783
1990-04-02,55.065601,55.065601,55.065601,55.065601,25.750235,15305447
1990-04-03,55.217098,55.217098,55.217098,55.217098,25.821079,15606030
1990-04-04,55.520100,55.520100,55.520100,55.520100,25.962769,8847465
1990-04-05,55.823200,55.823200,55.823200,55.823200,26.104513,7979114
1990-04-06,55.520100,55.520100,55.520100,55.520100,25.962769,7842485
1990-04-09,56.732201,56.732201,56.732201,56.732201,26.529577,17971225
1990-04-10,57.947498,57.947498,57.947498,57.947498,27.097895,40675874
1990-04-11,57.341499,57.341499,57.341499,57.341499,26.814510,6943772
1990-04-12,57.644501,57.644501,57.644501,57.644501,26.956203,16386332
1990-04-13,57.644501,57.644501,57.644501,57.644501,26.956203,0
1990-04-16,57.644501,57.644501,57.644501,57.644501,26.956203,0
1990-04-17,56.883701,56.883701,56.883701,56.883701,26.600424,10380743
1990-04-18,56.732201,56.732201,56.732201,56.732201,26.529577,10575059
1990-04-19,56.126202,56.126202,56.126202,56.126202,26.246199,2999758
1990-04-20,56.429199,56.429199,56.429199,56.429199,26.387890,10474865
1990-04-23,56.429199,56.429199,56.429199,56.429199,26.387890,8689583
1990-04-24,57.947498,57.947498,57.947498,57.947498,27.097895,23448516
1990-04-25,59.768902,59.768902,59.768902,59.768902,27.949621,38656806
1990-04-26,59.768902,59.768902,59.768902,59.768902,27.949621,186197559
1990-04-27,58.553501,58.553501,58.553501,58.553501,27.381269,12934181
1990-04-30,60.071899,60.071899,60.071899,60.071899,28.091316,10778484
1990-05-01,60.677898,60.677898,60.677898,60.677898,28.374699,31883060
1990-05-02,60.677898,60.677898,60.677898,60.677898,28.374699,27316626
1990-05-03,59.008099,59.008099,59.008099,59.008099,27.593853,15381352
1990-05-04,60.526402,60.526402,60.526402,60.526402,28.303865,28391438
1990-05-07,60.526402,60.526402,60.526402,60.526402,28.303865,0
1990-05-08,60.374901,60.374901,60.374901,60.374901,28.233009,29271934
1990-05-09,59.920399,59.920399,59.920399,59.920399,28.020472,9214845
1990-05-10,60.071899,60.071899,60.071899,60.071899,28.091316,7809087
1990-05-11,59.920399,59.920399,59.920399,59.920399,28.020472,15184000
1990-05-14,60.223400,60.223400,60.223400,60.223400,28.162163,16963209
1990-05-15,60.071899,60.071899,60.071899,60.071899,28.091316,17439891
1990-05-16,61.283901,61.283901,61.283901,61.283901,28.658094,25194327
1990-05-17,62.499298,62.499298,62.499298,62.499298,29.226437,43238421
1990-05-18,62.193001,62.193001,62.193001,62.193001,29.083200,45205874
1990-05-21,64.923401,64.923401,64.923401,64.923401,30.360025,53874204
1990-05-22,66.744698,66.744698,66.744698,66.744698,31.211699,61440397
1990-05-23,65.532700,65.532700,65.532700,65.532700,30.644938,20989200
1990-05-24,64.771896,64.771896,64.771896,64.771896,30.289167,12302653
1990-05-25,64.165802,64.165802,64.165802,64.165802,30.005745,11161044
1990-05-28,64.165802,64.165802,64.165802,64.165802,30.005745,0
1990-05-29,64.317299,64.317299,64.317299,64.317299,30.076586,16222378
1990-05-30,65.835701,65.835701,65.835701,65.835701,30.786642,37065841
1990-05-31,67.808601,67.808601,67.808601,67.808601,31.709219,32125955
1990-06-01,67.960098,67.960098,67.960098,67.960098,31.780079,31949856
1990-06-04,69.626602,69.626602,69.626602,69.626602,32.559372,30024910
1990-06-05,69.323601,69.323601,69.323601,69.323601,32.417675,56767696
1990-06-06,68.263100,68.263100,68.263100,68.263100,31.921768,30878080
1990-06-07,69.172096,69.172096,69.172096,69.172096,32.346832,20876861
1990-06-08,68.414597,68.414597,68.414597,68.414597,31.992599,19474140
1990-06-11,67.960098,67.960098,67.960098,67.960098,31.780079,13471587
1990-06-12,68.263100,68.263100,68.263100,68.263100,31.921768,22993088
1990-06-13,68.869102,68.869102,68.869102,68.869102,32.205151,29602879
1990-06-14,68.566101,68.566101,68.566101,68.566101,32.063446,21541787
1990-06-15,68.566101,68.566101,68.566101,68.566101,32.063446,21654127
1990-06-18,67.350700,67.350700,67.350700,67.350700,31.495094,9287713
1990-06-19,65.835701,65.835701,65.835701,65.835701,30.786642,29053328
1990-06-20,65.229698,65.229698,65.229698,65.229698,30.503250,48190452
1990-06-21,65.229698,65.229698,65.229698,65.229698,30.503250,30887189
1990-06-22,65.532700,65.532700,65.532700,65.532700,30.644938,13137606
1990-06-25,65.835701,65.835701,65.835701,65.835701,30.786642,14300468
1990-06-26,65.835701,65.835701,65.835701,65.835701,30.786642,30947913
1990-06-27,65.835701,65.835701,65.835701,65.835701,30.786642,22370668
1990-06-28,67.653801,67.653801,67.653801,67.653801,31.636831,23591218
1990-06-29,68.566101,68.566101,68.566101,68.566101,32.063446,11534496
1990-07-02,68.869102,68.869102,68.869102,68.869102,32.205151,19121942
1990-07-03,68.869102,68.869102,68.869102,68.869102,32.205151,20840427
1990-07-04,67.960098,67.960098,67.960098,67.960098,31.780079,10216788
1990-07-05,67.350700,67.350700,67.350700,67.350700,31.495094,8127888
1990-07-06,67.960098,67.960098,67.960098,67.960098,31.780079,14701245
1990-07-09,68.263100,68.263100,68.263100,68.263100,31.921768,15493691
1990-07-10,68.263100,68.263100,68.263100,68.263100,31.921768,9305930
1990-07-11,69.475098,69.475098,69.475098,69.475098,32.488518,21906131
1990-07-12,68.263100,68.263100,68.263100,68.263100,31.921768,19386091
1990-07-13,67.653801,67.653801,67.653801,67.653801,31.636831,24650849
1990-07-16,69.475098,69.475098,69.475098,69.475098,32.488518,11039597
1990-07-17,70.538902,70.538902,70.538902,70.538902,32.985992,25792457
1990-07-18,69.323601,69.323601,69.323601,69.323601,32.417675,30364964
1990-07-19,68.566101,68.566101,68.566101,68.566101,32.063446,11986889
1990-07-20,67.350700,67.350700,67.350700,67.350700,31.495094,28713275
1990-07-23,66.441704,66.441704,66.441704,66.441704,31.070028,22977907
1990-07-24,64.620399,64.620399,64.620399,64.620399,30.218328,17646352
1990-07-25,64.923401,64.923401,64.923401,64.923401,30.360025,9919241
1990-07-26,65.532700,65.532700,65.532700,65.532700,30.644938,7399201
1990-07-27,65.229698,65.229698,65.229698,65.229698,30.503250,6318317
1990-07-30,64.771896,64.771896,64.771896,64.771896,30.289167,4627157
1990-07-31,65.229698,65.229698,65.229698,65.229698,30.503250,6761601
1990-08-01,65.229698,65.229698,65.229698,65.229698,30.503250,10896895
1990-08-02,63.408298,63.408298,63.408298,63.408298,29.651516,21283711
1990-08-03,62.193001,62.193001,62.193001,62.193001,29.083200,21177444
1990-08-06,60.374901,60.374901,60.374901,60.374901,28.233009,31886096
1990-08-07,60.980900,60.980900,60.980900,60.980900,28.516394,20527699
1990-08-08,60.980900,60.980900,60.980900,60.980900,28.516394,18220192
1990-08-09,60.829399,60.829399,60.829399,60.829399,28.445562,5128129
1990-08-10,60.677898,60.677898,60.677898,60.677898,28.374699,3588779
1990-08-13,60.071899,60.071899,60.071899,60.071899,28.091316,13520166
1990-08-14,60.071899,60.071899,60.071899,60.071899,28.091316,15572632
1990-08-15,60.374901,60.374901,60.374901,60.374901,28.233009,9989074
1990-08-16,59.159599,59.159599,59.159599,59.159599,27.664701,11792572
1990-08-17,57.644501,57.644501,57.644501,57.644501,26.956203,4621085
1990-08-20,57.035198,57.035198,57.035198,57.035198,26.671267,6852687
1990-08-21,54.304798,54.304798,54.304798,54.304798,25.394464,16504744
1990-08-22,54.001801,54.001801,54.001801,54.001801,25.252769,13398718
1990-08-23,51.880699,51.880699,51.880699,51.880699,24.260887,26448275
1990-08-24,53.092800,53.092800,53.092800,53.092800,24.827698,10253223
1990-08-27,53.092800,53.092800,53.092800,53.092800,24.827698,0
1990-08-28,54.914101,54.914101,54.914101,54.914101,25.679398,17011788
1990-08-29,55.217098,55.217098,55.217098,55.217098,25.821079,8641004
1990-08-30,56.429199,56.429199,56.429199,56.429199,26.387890,11519315
1990-08-31,57.035198,57.035198,57.035198,57.035198,26.671267,7292935
1990-09-03,57.947498,57.947498,57.947498,57.947498,27.097895,6230267
1990-09-04,57.341499,57.341499,57.341499,57.341499,26.814510,10052834
1990-09-05,56.732201,56.732201,56.732201,56.732201,26.529577,4766822
1990-09-06,55.823200,55.823200,55.823200,55.823200,26.104513,7493323
1990-09-07,55.217098,55.217098,55.217098,55.217098,25.821079,5744476
1990-09-10,57.035198,57.035198,57.035198,57.035198,26.671267,7945716
